test_month,province_key,target,rows,mae,rmse,r2,baseline_mae,mae_improvement_pct
2025-04,dong_nai,target_traffic_density,7920,0.028893746133672224,0.041269135664210053,0.9181409299329406,0.04646212235093117,37.81225507643399
2025-04,ho_chi_minh,target_traffic_density,15840,0.03386447978146913,0.048671111181572295,0.9239707596610579,0.057278405874967575,40.8774052556708
2025-04,long_an,target_traffic_density,10800,0.026900424501537266,0.03661318001204293,0.9054660961539511,0.040804628282785416,34.075065418777584
2025-04,tay_ninh,target_traffic_density,6480,0.027869664212097488,0.03848074738092973,0.9112375211914722,0.043628085404634476,36.11990085373542
2025-04,ba_ria_vung_tau,target_us_aqi,5760,9.490312643344103,12.992429678133423,-0.17066640243081221,7.159895896911621,-32.54819315791579
2025-04,dong_nai,target_us_aqi,7920,8.996609365312123,11.919580730928603,0.1545602193947837,7.969192028045654,-12.89236516889944
2025-04,ho_chi_minh,target_us_aqi,15840,11.732107945603675,15.432244055275566,0.536525469136629,11.912941932678223,1.5179624654973343
2025-04,long_an,target_us_aqi,10800,17.02028715574329,21.771017020442976,0.5554251011872892,17.07537078857422,0.32259113733440753
2025-04,tay_ninh,target_us_aqi,6480,15.419763794382492,19.89519173798567,0.1515636107038142,17.03410530090332,9.47711357892815
2025-05,ba_ria_vung_tau,target_currentspeed,5952,3.031427705345178,4.193912515392807,0.8380159796804917,3.571824550628662,15.12943420438641
2025-05,dong_nai,target_currentspeed,8184,3.347556931645223,4.732053908262776,0.7731259276963316,3.992607831954956,16.156129714194538
2025-05,ho_chi_minh,target_currentspeed,16368,4.084664104736295,5.397682678860337,0.7243522235244875,3.6044721603393555,-13.322115500865193
2025-05,long_an,target_currentspeed,11160,3.2311588707866887,4.412733570968888,0.7432015999180543,3.8138442039489746,15.278162976845122
2025-05,tay_ninh,target_currentspeed,6696,3.1674418942448135,4.398698455083195,0.801233197152124,3.6035244464874268,12.101556648732862
2025-05,ba_ria_vung_tau,target_traffic_density,5952,0.05914487449954895,0.08685298383899083,0.7218121044310326,0.0659290999174118,10.290183585641744
2025-05,dong_nai,target_traffic_density,8184,0.06261248478618772,0.09385420954282557,0.6597457974013873,0.0678299143910408,7.691930104429286
2025-05,ho_chi_minh,target_traffic_density,16368,0.10336738195492735,0.13757337186161794,0.4760100961223005,0.08269061148166656,-25.00497952883691
2025-05,long_an,target_traffic_density,11160,0.055520022625815374,0.07982215000048228,0.6555135589031534,0.06264875084161758,11.37888324992203
2025-05,tay_ninh,target_traffic_density,6696,0.059210629508234566,0.08710743625418309,0.6441068107349951,0.061802566051483154,4.193897937974675
2025-05,ba_ria_vung_tau,target_us_aqi,5952,10.998603204741485,13.357817143772182,0.298586767754096,8.69455623626709,-26.49987999230668
2025-05,dong_nai,target_us_aqi,8184,12.714621186391037,17.34122841742318,0.5303767356045623,15.767473220825195,19.36170743199389
2025-05,ho_chi_minh,target_us_aqi,16368,16.30112366522526,21.60175920159171,0.5302760623483482,18.474279403686523,11.763142101378058
2025-05,long_an,target_us_aqi,11160,18.232159442752042,22.76884821140872,0.4051147892771991,16.398387908935547,-11.182632975874817
2025-05,tay_ninh,target_us_aqi,6696,15.523907261759149,20.47626519450596,0.29429735072613494,18.902179718017578,17.87239623501334
2025-06,ba_ria_vung_tau,target_currentspeed,5760,2.8509325909342516,3.73768973907472,0.8790938598189572,3.893611431121826,26.77922177476139
2025-06,dong_nai,target_currentspeed,7920,3.4293607594395445,4.376693276716379,0.8156625371376256,4.7202019691467285,27.347160527127393
