province,province_slug,location_name,lat,lon,status,attempts,rows,total_null_values,error,request_url
Tây Ninh,tay_ninh,Tay_Ninh,11.313,106.096,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=11.313&longitude=106.096&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Tây Ninh,tay_ninh,Hoa_Thanh,11.286,106.132,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=11.286&longitude=106.132&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Tây Ninh,tay_ninh,Trang_Bang,11.029,106.357,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=11.029&longitude=106.357&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Tây Ninh,tay_ninh,Ben_Cau,11.111,106.17,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=11.111&longitude=106.17&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Tây Ninh,tay_ninh,Chau_Thanh,11.252,106.045,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=11.252&longitude=106.045&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Tây Ninh,tay_ninh,Duong_Minh_Chau,11.361,106.243,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=11.361&longitude=106.243&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Tây Ninh,tay_ninh,Go_Dau,11.088,106.264,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=11.088&longitude=106.264&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Tây Ninh,tay_ninh,Tan_Bien,11.548,106.012,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=11.548&longitude=106.012&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Tây Ninh,tay_ninh,Tan_Chau,11.576,106.176,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=11.576&longitude=106.176&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
Long An,long_an,Tan_An,10.5359,106.4137,success,1,8760,0,,https://air-quality-api.open-meteo.com/v1/air-quality?latitude=10.5359&longitude=106.4137&hourly=pm10%2Cpm2_5%2Ccarbon_monoxide%2Cnitrogen_dioxide%2Csulphur_dioxide%2Cozone%2Cus_aqi%2Cus_aqi_pm2_5%2Cus_aqi_pm10%2Cus_aqi_nitrogen_dioxide%2Cus_aqi_carbon_monoxide%2Cus_aqi_ozone%2Cus_aqi_sulphur_dioxide&start_date=2025-01-01&end_date=2025-12-31&timezone=Asia%2FHo_Chi_Minh&domains=cams_global&cell_selection=nearest
